"PKey","Name","ProjectId","ProjectMap","SetId","Pid","AddrSlct","Address","Alias","AliasType","P1","P2","P3","P4","P5","P6","P7","P8","Type","Format","IsScale","ScaleOffst","ScaleFact","IsDeadband","Deadband","IsModify","MsInput","MsOutput","MsAutoSubs","MsUnit"
"109","13db8660-63e3-4326-9fbf-61a83cc03d1a","0","0","RTAC_DESET","SYS$,PREVIOUS_6HOUR:A","0","15","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","ab54e76b-f4e7-4c5b-b79b-84dc3c9d920e","0","0","RTAC_DESET","SYS$,PREVIOUS_7HOUR:A","0","17","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","28b4c692-8f29-4986-b8bc-cb1fdfc270bb","0","0","RTAC_DESET","SYS$,PREVIOUS_8HOUR:A","0","19","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","c0eff7a8-408c-4e93-9f0a-b1efc2912e77","0","0","RTAC_DESET","SYS$,PREVIOUS_9HOUR:A","0","21","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","d75c42e1-d4f7-4a14-8fed-18d591e8943b","0","0","RTAC_DESET","ROC12,A_C:A","0","1934","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","4f41082d-f799-4485-aadd-026589ed49b3","0","0","RTAC_DESET","SANTEE,CATAWBA1_GROSS_ECHO:A","0","50","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","e928d06e-7437-465c-9eed-781259594527","0","0","RTAC_DESET","SANTEE,CATAWBA2_GROSS_ECHO:A","0","51","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","27a51196-a2f4-4de9-8ec9-8e8c58784a24","0","0","RTAC_DESET","DUKE,CATAWBA1_ENTITLEMENT:A","0","32","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","f5ad8073-75ec-4744-9ca6-6dd9162f50e9","0","0","RTAC_DESET","DUKE,CATAWBA1_GROSS_ICCP:A","0","31","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","17acde1e-5dc7-48e0-b954-950c15bfea31","0","0","RTAC_DESET","DUKE,CATAWBA2_ENTITLEMENT:A","0","34","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","19bac213-7027-4eb2-b44f-4f466283da27","0","0","RTAC_DESET","DUKE,CATAWBA2_GROSS_ICCP:A","0","33","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
