"PKey","Name","ProjectId","FunctionId","TemplateId","IsTemplate","P1Type","P1Const","P1Pid","P2Type","P2Const","P2Pid","P3Type","P3Const","P3Pid","P4Type","P4Const","P4Pid","P5Type","P5Const","P5Pid","P6Type","P6Const","P6Pid","P7Type","P7Const","P7Pid","P8Type","P8Const","P8Pid"
"1420","2f66ce81-060d-4fd1-8c0f-8b6ece8f7371","0","3","","0","0","0","SYS$,ROC_CME:A","1","81000","","0","0","SYS$,VARIABLE4:A","0","0","","0","0","","0","0","","0","0","","0","0",""
"1421","a3ee27be-dfcf-4280-9bb6-c20e3bd11b18","0","52","","0","0","0","SYS$,ROC_KW_COMP:A","0","0","SYS$,ROC_KW_COMP_05:A","0","0","","0","0","","0","0","","0","0","","1","5","","0","0",""
"1422","eb65ef2f-7cc8-46ff-ab04-7c281649d470","0","","REVERSE_STATUS","1","0","0","SYS$,DUKE_ICCP_SRV:S","0","0","SYS$,DUKE_ICCP_SRV_REV:S","0","0","","0","0","SYS$,SANTEE_ICCP_SRV:S","0","0","SYS$,SANTEE_ICCP_SRV_REV:S","0","0","","0","0","","0","0",""
"1423","6d848fb8-7a3a-4af1-949b-67ce0074b81b","0","3","","0","0","0","SYS$,PMPA_CURRRATCHET:A","0","0","SOUTHERN,SPC_LOAD_MAX:A","1","0.95","","0","0","","0","0","","0","0","","0","0","","0","0",""
"1424","cee39cef-0d00-452e-88e4-9621320fe3df","0","34","","0","0","0","GRE03B,KW_C:A","0","0","GRE03B,KW_C_STATUS:S","0","0","GRE03B,PRI_KW_C:A","0","0","GRE03B,CHK_KW_C:A","0","0","","0","0","","0","0","","0","0",""
"1425","7cab06be-e6e5-42e9-9df8-500ce4eca30a","0","53","","0","0","0","SYS$,PMPA_LASTHRAVG_MW_COMP_WLOSS:A","0","0","","0","0","SYS$,PMPA_MONTHLY_PEAK:A","0","0","","0","0","","0","0","","1","7","","0","0",""
"1426","22b0756d-f181-4d1e-93c3-6ee579f217d3","0","6","","0","0","0","SANTEE,PMPA_SEPA:A","0","0","ENERGY_AUDIT,SEPA_PREV_HR:A","0","0","","0","0","","0","0","","0","0","","0","0","","0","0",""
"1427","a4397f66-8cb6-40a7-980a-36d45386138c","0","6","","0","0","0","SYS$,PMPA_CURRHRAVG_SEPA:A","0","0","ENERGY_AUDIT,PMPA_SEPA_PREV_HR:A","0","0","","0","0","","0","0","","0","0","","0","0","","0","0",""
"1428","571f67a3-105c-4d08-93d9-c20d9d5a5d52","0","45","","0","0","0","SANTEE,PMPA_SEPA:A","0","0","SYS$,PMPA_CURRHRAVG_SEPA:A","0","0","","1","60","","0","0","","0","0","","0","0","","0","0",""
"1429","6edf1e96-c4fb-479e-a2d3-7d74b4684fac","0","","DS5_UPDATED","1","0","0","DUKE,CME_ENTITLEMENT_MW:A","0","0","SANTEE,DS3_SC_SIGNAL:A","0","0","SANTEE,DS2_SC_SIGNAL:A","0","0","TEA,SURPLUS_CURRENT:A","0","0","DUKE,DS5_PMPA_DK_MW_SIGNAL:A","0","0","","0","0","","0","0",""
"1430","b9aca19e-28b0-4409-943a-8fdbe45dd617","0","45","","0","0","0","DUKE,DS5_PMPA_DK_MW_SIGNAL:A","0","0","DUKE,DS5_SCHEDULE_CURRHRAVG:A","0","0","DUKE,DS5_SCHEDULE:A","1","60","","0","0","","0","0","","0","0","","0","0",""
"1431","071eeb82-2cef-4549-9eae-f76598b7002a","0","34","","0","0","0","UNI04,PF_C:A","0","0","UNI04,PF_C_STATUS:S","0","0","UNI04,PRI_PF_C:A","0","0","UNI04,CHK_PF_C:A","0","0","","0","0","","0","0","","0","0",""
"1432","930c980b-4c88-473e-8193-7a505bb66450","0","34","","0","0","0","EAS04B,KW_A:A","0","0","EAS04B,KW_A_STATUS:S","0","0","EAS04B,PRI_KW_A:A","0","0","EAS04B,CHK_KW_A:A","0","0","","0","0","","0","0","","0","0",""
"1433","2b1339f4-697e-4291-8bdd-0b67176fbf8c","0","1","","0","0","0","SYS$,NEW_LASTHRAVG_KW:A","0","0","SYS$,NEW_KW_COMP:A","0","0","","0","0","","0","0","","0","0","","0","0","","0","0",""
"1434","4f49f921-e25f-4b43-a128-7d22a7e90866","0","","ANNUAL_PEAK_RESET","1","0","0","SYS$,NEW_LASTHRAVG_KW:A","0","0","","0","0","SYS$,NEW_LOAD_MAX:A","0","0","SYS$,NEW_LOAD_MAX_MONTH:A","0","0","SYS$,NEW_LOAD_MAX_DAY:A","0","0","SYS$,NEW_LOAD_MAX_HOUR:A","0","0","","0","0",""
"1435","d8ec13be-0969-4c4c-8819-418ac8fc1980","0","11","","0","0","0","EAS01,CHK_MESSAGES_BAD:A","0","0","EAS01,CHK_MESSAGES_GOOD:A","0","0","EAS01,CHK_TIMEOUTS:A","0","0","EAS01,CHK_TOTAL_MSG_RCV:A","0","0","EAS01,CHK_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0",""
"1436","44bd1bc9-76b1-4c15-a936-26d9ca82e443","0","11","","0","0","0","EAS01,PRI_MESSAGES_BAD:A","0","0","EAS01,PRI_MESSAGES_GOOD:A","0","0","EAS01,PRI_TIMEOUTS:A","0","0","EAS01,PRI_TOTAL_MSG_RCV:A","0","0","EAS01,PRI_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0",""
"1437","54ab4016-1868-4cf2-ad89-51de7365e3a9","0","34","","0","0","0","GRE03B,KVAR:A","0","0","GRE03B,KVAR_STATUS:S","0","0","GRE03B,PRI_KVAR:A","0","0","GRE03B,CHK_KVAR:A","0","0","","0","0","","0","0","","0","0",""
"1438","bae42c88-53ce-4e86-876a-191e774e506a","0","4","","0","0","0","EAS01,CHK_PERCENT_VALID:A","0","0","EAS01,CHK_TOTAL_MSG_RCV:A","0","0","EAS01,CHK_TOTAL_MSG_SNT:A","0","0","","0","0","EAS01,PRI_PERCENT_VALID:A","0","0","EAS01,PRI_TOTAL_MSG_RCV:A","0","0","EAS01,PRI_TOTAL_MSG_SNT:A","0","0",""
