RTUID,NAME,ENGUNITS,SCALEFACT,STATIONPID,PREMGHI,PREMGSEVHI,EMGHI,EMGSEVHI,PREMGLO,PREMGSEVLO,EMGLO,EMGSEVLO
EAS01_PRI,PRI_PF,,0.01,EAS01,0,0,0,0,0,0,0,0
,PRI_PF_A,,1.0,EAS01,0,0,0,0,0,0,0,0
,PRI_PF_B,,1.0,EAS01,0,0,0,0,0,0,0,0
,PRI_PF_C,,1.0,EAS01,0,0,0,0,0,0,0,0
EAS05_PRI,PRI_FREQUENCY,,0.01,EAS05,0,0,0,0,0,0,0,0
EAS05_PRI,PRI_KW,KW,0.12,EAS05,0,0,0,0,0,0,0,0
EAS05_PRI,PRI_KVAR,KVAR,0.12,EAS05,0,0,0,0,0,0,0,0
,KVAR,KVAR,1.0,EAS03,0,0,0,0,0,0,0,0
,FREQUENCY,,1.0,EAS03,0,0,0,0,0,0,0,0
,KW,KW,1.0,EAS03,0,0,0,0,0,0,0,0
,FREQUENCY,,1.0,EAS04A,0,0,0,0,0,0,0,0
,KVAR_COMP,KVAR,1.0,EAS04A,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KW_COMP,KW,18.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KW_A,KW,18.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KW_B,KW,18.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KW_C,KW,18.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KVAR,KVAR,18.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KVAR_A,KVAR,18.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KVAR_B,KVAR,18.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KVAR_C,KVAR,18.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_V,kV,0.0006,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_V_A,kV,0.0006,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_V_B,kV,0.0006,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_V_C,kV,0.0006,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_A,A,3.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_A_A,A,3.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_A_B,A,3.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_A_C,A,3.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_PF,,0.01,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_PF_A,,0.01,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_PF_B,,0.01,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_PF_C,,0.01,EAS01,0,0,0,0,0,0,0,0
,KW,KW,1.0,EAS04A,0,0,0,0,0,0,0,0
,FREQUENCY,,1.0,EAS04B,0,0,0,0,0,0,0,0
,KVAR_COMP,KVAR,1.0,EAS04B,0,0,0,0,0,0,0,0
,KW,KW,1.0,EAS04B,0,0,0,0,0,0,0,0
,FREQUENCY,,1.0,EAS05,0,0,0,0,0,0,0,0
,KVAR_COMP,KVAR,1.0,EAS05,0,0,0,0,0,0,0,0
